round,client,labeled_count,ve_median,bal_acc_rest,f1_macro_rest,auc_ovr_rest,pseudo_acc
1,RSNA,300,-5.107025913275721e-15,0.3940221856733967,0.3516097408907527,0.7224903409642435,0.32,200,600,300,
1,MENDELEY,300,-5.107025913275721e-15,0.5664920605760633,0.581192538907979,0.8650354813525784,0.73,200,600,300,
1,RSNA,300,-5.107025913275721e-15,0.38535697312476147,0.34474013128917314,0.723732141719249,0.31,200,600,300,
1,MENDELEY,300,-5.107025913275721e-15,0.5698040531213492,0.5838018849012008,0.8671249152702754,0.75,200,600,300,
2,RSNA,400,-5.107025913275721e-15,0.43161021340758443,0.40713472051331384,0.767798642146892,0.52,300,900,300,
2,MENDELEY,400,-5.107025913275721e-15,0.4979406239564311,0.5129685652290096,0.8673830915882144,0.77,300,900,300,
3,RSNA,500,-5.107025913275721e-15,0.4705370488857337,0.4453774288377771,0.7908154297861126,0.42,400,1200,300,
3,MENDELEY,500,-5.107025913275721e-15,0.5475263139682051,0.5687945557701103,0.8820653027824505,0.82,400,1200,300,
4,RSNA,600,-5.107025913275721e-15,0.501589915200183,0.48622126398257554,0.8065139565567826,0.43,500,1500,300,
4,MENDELEY,600,-5.107025913275721e-15,0.5404270816793912,0.567215043684176,0.8869730034684606,0.53,500,1500,300,
5,RSNA,700,-5.107025913275721e-15,0.5147207516665725,0.5020778907432241,0.8160972763992623,0.6,600,1800,300,
5,MENDELEY,700,-5.107025913275721e-15,0.526967489497844,0.5418283794109484,0.8865882407971956,0.78,600,1800,300,
6,RSNA,800,-5.107025913275721e-15,0.5144689535273058,0.5011917306453787,0.8185708447543323,0.41,700,2100,300,
6,MENDELEY,800,-5.107025913275721e-15,0.5265693306045675,0.5465175047395082,0.8916500957188453,0.81,700,2100,300,
7,RSNA,900,-5.107025913275721e-15,0.5312913007538964,0.5188795827353196,0.8276362694747135,0.56,800,2400,300,
7,MENDELEY,900,-5.107025913275721e-15,0.5446855189630784,0.5626023418058043,0.8972492868602361,0.67,800,2400,300,
8,RSNA,1000,-5.107025913275721e-15,0.5321973375355031,0.5179978006674272,0.8298900146937003,0.58,900,2700,300,
8,MENDELEY,1000,-5.107025913275721e-15,0.5239774784675878,0.539297818764954,0.9011700525781331,0.77,900,2700,300,
9,RSNA,1100,-5.107025913275721e-15,0.5484664236713537,0.5321147457589206,0.8380049898892548,0.53,1000,3000,300,
9,MENDELEY,1100,-5.107025913275721e-15,0.5455276914168085,0.5626673716016686,0.9048682776365142,0.5,1000,3000,300,
10,RSNA,1200,-5.107025913275721e-15,0.5478721331417109,0.5346864803776282,0.8397788580290919,0.58,1100,3300,300,
10,MENDELEY,1200,-5.107025913275721e-15,0.5540748592201559,0.5741943444766798,0.9052125697944369,0.65,1100,3300,300,
11,RSNA,1300,-5.107025913275721e-15,0.5484174807450043,0.5375453199304902,0.8418416144723866,0.53,1200,3600,300,
11,MENDELEY,1300,-5.107025913275721e-15,0.5736805764863713,0.5987931821029697,0.9092258836501937,0.57,1200,3600,300,
12,RSNA,1400,-5.107025913275721e-15,0.5568393400019751,0.5460077244525762,0.8435143064844881,0.62,1300,3900,300,
12,MENDELEY,1400,-5.107025913275721e-15,0.5588993856941615,0.5796412539770367,0.9091380869728812,0.67,1300,3900,300,
13,RSNA,1500,-5.107025913275721e-15,0.5545326277894009,0.5414240103485212,0.8436870483899215,0.5,1400,4200,300,
13,MENDELEY,1500,-5.107025913275721e-15,0.5761945983826212,0.6015725374370405,0.9124284475633566,0.63,1400,4200,300,
14,RSNA,1600,-5.107025913275721e-15,0.5608715507293142,0.5504934304226617,0.8468844391687707,0.56,1500,4500,300,
14,MENDELEY,1600,-5.107025913275721e-15,0.5756712780124355,0.6006379752345548,0.9108760959292794,0.76,1500,4500,300,
15,RSNA,1700,-5.107025913275721e-15,0.5627708106910507,0.5515375753600856,0.8497424135317777,0.74,1600,4800,300,
15,MENDELEY,1700,-5.107025913275721e-15,0.58172162407108,0.6087184940255421,0.9120008250063065,0.54,1600,4800,300,
16,RSNA,1800,-5.107025913275721e-15,0.5627050542960677,0.5508631408427396,0.8503878345838091,0.45,1700,5100,300,
16,MENDELEY,1800,-5.107025913275721e-15,0.5973254310661841,0.6265255552592093,0.9139991602575375,0.79,1700,5100,300,
17,RSNA,1900,-5.107025913275721e-15,0.5703346711713246,0.5608743093419936,0.8527186940744313,0.53,1800,5400,300,
17,MENDELEY,1900,-5.107025913275721e-15,0.6003610101334627,0.6282783554635584,0.9130367682208924,0.79,1800,5400,300,
18,RSNA,2000,-5.107025913275721e-15,0.5700126916237991,0.5600327665362835,0.8537147890615939,0.58,1900,5700,300,
18,MENDELEY,2000,-5.107025913275721e-15,0.6072011323112739,0.635074979027956,0.9144769855884816,0.91,1900,5700,300,
19,RSNA,2100,-5.107025913275721e-15,0.5770353562063993,0.5677515679992127,0.8556791069511398,0.59,2000,6000,300,
19,MENDELEY,2100,-5.107025913275721e-15,0.6077577280197872,0.6355781554114371,0.9168677659552037,0.68,2000,6000,300,
20,RSNA,2200,-5.107025913275721e-15,0.5794017431486788,0.5699590957000211,0.8580210052959553,0.69,2100,6300,300,
20,MENDELEY,2200,-5.107025913275721e-15,0.6086908280010774,0.6363626316213452,0.919085991034466,0.8,2100,6300,300,
